"","gene_short_name","num_cells_expressed","use_for_ordering"
"NINJ1","NINJ1",278,TRUE
"AL162414.1","AL162414.1",357,TRUE
"SUSD1","SUSD1",243,TRUE
"ATP6V1G1","ATP6V1G1",197,TRUE
"TLR4","TLR4",408,TRUE
"MRRF","MRRF",250,TRUE
"RC3H2","RC3H2",390,TRUE
"PSMB7","PSMB7",315,TRUE
"RPL35","RPL35",499,TRUE
"HSPA5","HSPA5",196,TRUE
"PBX3","PBX3",477,TRUE
"RPL12","RPL12",343,TRUE
"CDK9","CDK9",214,TRUE
"ENG","ENG",391,TRUE
"DNM1","DNM1",502,TRUE
"CERCAM","CERCAM",374,TRUE
"SET","SET",234,TRUE
"MIGA2","MIGA2",217,TRUE
"PTPA","PTPA",216,TRUE
"AL161785.1","AL161785.1",260,TRUE
"FAM78A","FAM78A",273,TRUE
"RPL7A","RPL7A",314,TRUE
"ADAMTSL2","ADAMTSL2",545,TRUE
"UBAC1","UBAC1",240,TRUE
"EDF1","EDF1",189,TRUE
"PTGDS","PTGDS",768,TRUE
"NPDC1","NPDC1",212,TRUE
"DPP7","DPP7",353,TRUE
"GRIN1","GRIN1",420,TRUE
"NOXA1","NOXA1",198,TRUE
"NSMF","NSMF",289,TRUE
"MRPL41","MRPL41",297,TRUE
"ARRDC1","ARRDC1",177,TRUE
"AC215217.1","AC215217.1",155,TRUE
"PFKP","PFKP",204,TRUE
"KLF6","KLF6",439,TRUE
"TAF3","TAF3",535,TRUE
"AL157392.3","AL157392.3",254,TRUE
"AC044781.1","AC044781.1",270,TRUE
"DCLRE1C","DCLRE1C",317,TRUE
"RSU1","RSU1",344,TRUE
"MRC1","MRC1",759,TRUE
"RAB18","RAB18",295,TRUE
"MACORIS","MACORIS",200,TRUE
"CREM","CREM",433,TRUE
"TMEM72-AS1","TMEM72-AS1",239,TRUE
"NCOA4","NCOA4",245,TRUE
"IPMK","IPMK",377,TRUE
"ARID5B","ARID5B",460,TRUE
"REEP3","REEP3",395,TRUE
"AC013287.1","AC013287.1",260,TRUE
"SRGN","SRGN",567,TRUE
"P4HA1","P4HA1",617,TRUE
"ZSWIM8","ZSWIM8",369,TRUE
"VCL","VCL",302,TRUE
"SAMD8","SAMD8",430,TRUE
"RPS24","RPS24",561,TRUE
"RNLS","RNLS",301,TRUE
"CH25H","CH25H",230,TRUE
"LIPA","LIPA",476,TRUE
"KIF20B","KIF20B",202,TRUE
"IDE","IDE",286,TRUE
"FRA10AC1","FRA10AC1",332,TRUE
"ENTPD1-AS1","ENTPD1-AS1",780,TRUE
"CC2D2B","CC2D2B",258,TRUE
"HPS1","HPS1",211,TRUE
"NDUFB8","NDUFB8",305,TRUE
"TRIM8","TRIM8",265,TRUE
"ATP5MD","ATP5MD",242,TRUE
"SLK","SLK",267,TRUE
"SORCS1","SORCS1",445,TRUE
"PDCD4","PDCD4",350,TRUE
"NHLRC2","NHLRC2",441,TRUE
"FAM204A","FAM204A",269,TRUE
"DENND10","DENND10",204,TRUE
"DHX32","DHX32",251,TRUE
"TUBGCP2","TUBGCP2",253,TRUE
"DEAF1","DEAF1",317,TRUE
"RPLP2","RPLP2",520,TRUE
"TOLLIP","TOLLIP",233,TRUE
"CTSD","CTSD",298,TRUE
"CD81","CD81",436,TRUE
"RPL27A","RPL27A",301,TRUE
